Continent,Year,Life.Expectancy,Population,CO2.emissions,Electric.power.consumption,Health.expenditure,GDP.per.capita,Individuals.using.the.Internet,Military.expenditure,People.practicing.open.defecation,People.using.at.least.basic.drinking.water.services,Obesity.among.adults,Beer.consumption.per.capita
Oceania,2000,78.93536586,11505350,12.67857729,9587.601266,7.541927815,23928.38974,47.06783608,1.74929201,0,99.85614916,21.6,4.64319
Oceania,2001,79.16341464,11646750,12.97649922,9789.130184,7.63758254,24974.38225,52.96514086,1.725697652,0,99.85562173,22.3,4.486065
Oceania,2002,79.39146342,11799950,12.98488421,10026.86041,7.8968904,26037.50409,59.82237664,1.664187233,0,99.85609666,22.9,4.60342
Oceania,2003,79.69268293,11961300,13.0076438,10169.88921,7.813093665,26890.52176,61.85976994,1.644714444,0,99.86718046,23.5,4.56422
Oceania,2004,80.0195122,12107450,13.10448884,9920.953286,8.00519657,28249.30922,62.33081391,1.584595753,0,99.87817112,24.1,4.33812
Oceania,2005,80.34634146,12264350,13.21330415,10110.55776,8.131715535,29165.41035,62.86010619,1.539793035,0,99.88907385,24.65,4.35907
Oceania,2006,80.54512195,12441250,13.16550288,10066.06198,8.31392741,31062.57322,67.5,1.60392638,0,99.89988944,25.25,4.28844
Oceania,2007,80.72195122,12525700,13.19894526,10095.28767,8.19829893,32984.82946,69.605,1.543678257,0,99.91062795,25.8,4.286565
Oceania,2008,80.87317073,12754500,13.16262547,10306.74986,8.6898427,33663.33384,71.85,1.522309711,0,99.92127872,26.4,4.36037
Oceania,2009,81.12317073,12997150,12.7337782,10152.71387,9.091964245,35481.52211,76.975,1.640096179,0,99.93183547,26.95,4.231775
Oceania,2010,81.19878049,13191225,12.36342584,10097.72097,9.01180887,35279.55898,78.23,1.593213942,0,99.94157508,27.5,4.095
Oceania,2011,81.4,13362012,12.10231569,10164.41566,9.03070593,37352.26833,80.35884886,1.501583965,0,99.94598572,28.1,3.98
Oceania,2012,81.60121951,13570782.5,12.15317994,10042.88964,9.16364193,37912.64081,80.32223509,1.433989099,0,99.95038434,28.7,3.76
Oceania,2013,81.77804878,13785114.5,11.81067626,9884.344736,9.060678005,41074.53064,83.11674859,1.390453479,0,99.95479354,29.3,3.745
Oceania,2014,81.85243903,13996093,11.45445567,9655.253537,9.21882725,42087.12599,84,1.455932807,0,99.9807409,29.9,3.675
Oceania,2015,81.92841464,14212697.5,11.4331842,9542.065039,9.305516245,41864.14972,84.88025746,1.531049556,0,99.98500151,30.55,3.52
South America,2000,71.6534,34657555.8,2.152722083,1422.399475,6.370614681,7939.67677,4.88247982,1.903664416,9.809241745,88.94515337,15.46,2.456178
South America,2001,71.9566,35148431.8,2.114435579,1456.547991,6.60560999,8046.376321,6.421300027,1.98175692,9.365697806,89.48092183,15.89,2.447872
South America,2002,72.2518,35627076.8,2.077462771,1465.776166,6.568770408,8052.851843,8.092692924,1.935354138,8.970846435,89.97791095,16.35,2.35013
South America,2003,72.5379,36093539.7,2.10952269,1488.011126,6.565945627,8258.535122,10.05123351,1.891272429,8.584043809,90.45179006,16.8,2.233543
South America,2004,72.8143,36548270,2.197729595,1522.260522,6.365388344,8724.883725,12.37968243,1.786614127,8.205421156,90.91753769,17.26,2.506362
South America,2005,73.0813,36991724.4,2.223566738,1570.921923,6.300404119,9516.897509,14.56474477,1.793138607,7.825956425,91.39207269,17.71,2.703921
South America,2006,73.3399,37424058,2.313894406,1618.799375,6.185124972,10503.47061,18.2960751,1.773426178,7.452739394,91.86014996,18.18,2.891075
South America,2007,73.5917,37845087.6,2.368703108,1690.943723,6.37781539,11401.74923,22.14605887,1.790023315,7.045122418,92.32164164,18.63,3.048533
South America,2008,73.8376,38256238.4,2.466377102,1780.677091,6.52293458,12068.62758,26.11126235,1.883807319,6.645406131,92.77288948,19.11,3.190618
South America,2009,74.0782,38660686.7,2.461479099,1861.834504,6.810793209,12088.9752,30.416,1.957738098,6.250993999,93.21639932,19.61,3.177862
South America,2010,74.3125,39051301.1,2.528743364,1887.096855,6.819847631,12899.10668,35.225,1.823442907,5.858726537,93.65426988,20.09,3.188
South America,2011,74.5384,39453636.1,2.691749986,1957.326789,6.75521102,13726.93868,40.02055083,1.724761226,5.469087579,94.08597469,20.59,3.206
